服务器id	玩家uid	操作项目	次数	总金币
260	272629865	定向洗练	3	78
260	272639995	定向洗练	1	26
260	272643546	定向洗练	3	78
260	272647219	定向洗练	69	1134
260	272659570	定向洗练	1	26
260	272661312	定向洗练	10	560
260	272663015	定向洗练	4	104
261	273678503	定向洗练	3	78
261	273679762	定向洗练	1	14
261	273687745	定向洗练	1	26
261	273689739	定向洗练	7	260
261	273695365	定向洗练	12	180
261	273695756	定向洗练	3	78
261	273703299	定向洗练	1	14
261	273704704	定向洗练	3	78
262	274727718	定向洗练	7	182
262	274727771	定向洗练	12	240
262	274753845	定向洗练	88	3978
262	274754772	定向洗练	12	168
264	276825412	定向洗练	16	404
264	276827376	定向洗练	1	26
264	276827592	定向洗练	2	28
264	276829453	定向洗练	4	56
265	277873803	定向洗练	2	52
265	277876028	定向洗练	6	156
265	277876823	定向洗练	23	1456
265	277882836	定向洗练	5	130
265	277883291	定向洗练	1	56
265	277885906	定向洗练	14	322
265	277900711	定向洗练	31	554
265	277902917	定向洗练	29	2470
267	279969838	定向洗练	1	26
267	279975416	定向洗练	3	78
268	281036561	定向洗练	1	104
268	281042636	定向洗练	20	280
269	282069234	定向洗练	1	26
269	282087782	定向洗练	5	130
269	282091365	定向洗练	2	52
269	282098484	定向洗练	6	156
270	283147784	定向洗练	1	26
271	284164188	定向洗练	2	52
271	284164425	定向洗练	28	728
271	284164440	定向洗练	33	3436
271	284164537	定向洗练	1	26
271	284164550	定向洗练	6	84
271	284166340	定向洗练	3	126
271	284182587	定向洗练	2	52
272	285212844	定向洗练	28	1456
272	285212923	定向洗练	4	104
272	285215493	定向洗练	4	92
272	285215599	定向洗练	3	54
273	286261260	定向洗练	10	140
273	286261295	定向洗练	2	52
273	286262452	定向洗练	15	210
273	286264924	定向洗练	3	42
274	287310037	定向洗练	9	234
274	287310878	定向洗练	15	390
275	288358451	定向洗练	9	252
275	288358453	定向洗练	15	210
275	288359163	定向洗练	3	42
275	288359841	定向洗练	5	130
275	288363536	定向洗练	1	14
275	288405728	定向洗练	1	14
275	288411348	定向洗练	31	566
275	288412639	定向洗练	3	78
276	289408900	定向洗练	35	910
277	290455683	定向洗练	6	156
277	290456135	定向洗练	2	28
277	290459008	定向洗练	1	26
277	290459900	定向洗练	18	444
277	290460831	定向洗练	2	52
278	291505378	定向洗练	1	26
278	291505756	定向洗练	1	26
278	291505864	定向洗练	7	182
278	291506866	定向洗练	2	70
278	291509028	定向洗练	4	56
278	291514864	定向洗练	11	286
278	291522042	定向洗练	1	26
278	291526540	定向洗练	5	130
278	291527007	定向洗练	1	26
278	291528601	定向洗练	4	104
280	293601373	定向洗练	2	52
280	293601563	定向洗练	12	312
280	293601583	定向洗练	15	222
280	293601602	定向洗练	1	26
280	293601769	定向洗练	2	52
281	294654122	定向洗练	3	78
281	294661313	定向洗练	3	78
281	294666526	定向洗练	12	168
282	295700979	定向洗练	2	52
283	296747012	定向洗练	39	1326
283	296747129	定向洗练	29	406
283	296747191	定向洗练	8	208
283	296752446	定向洗练	35	1664
283	296766821	定向洗练	1	26
283	296786614	定向洗练	4	104
283	296796287	定向洗练	10	260
283	296800059	定向洗练	6	84
284	297802394	定向洗练	6	156
285	298844395	定向洗练	6	156
285	298846147	定向洗练	1	26
285	298846530	定向洗练	5	130
285	298849568	定向洗练	1	26
285	298852916	定向洗练	1	26
285	298870420	定向洗练	2	52
285	298880781	定向洗练	3	234
285	298882714	定向洗练	5	130
286	299894463	定向洗练	4	104
287	300941664	定向洗练	3	78
287	300942863	定向洗练	6	468
287	300960779	定向洗练	1	26
287	300971004	定向洗练	3	78
287	300985884	定向洗练	3	78
287	300987961	定向洗练	1	26
287	300994718	定向洗练	3	78
288	301989894	定向洗练	4	104
288	301989904	定向洗练	23	388
288	301989969	定向洗练	1	56
288	301990023	定向洗练	3	78
288	301990441	定向洗练	6	84
288	302000883	定向洗练	3	78
289	303038478	定向洗练	6	156
289	303038485	定向洗练	7	182
289	303038549	定向洗练	3	78
289	303038586	定向洗练	2	28
289	303038865	定向洗练	3	78
289	303039327	定向洗练	2	52
289	303039595	定向洗练	1	26
289	303045907	定向洗练	16	416
289	303050321	定向洗练	4	104
289	303053727	定向洗练	58	2282
289	303054052	定向洗练	6	84
289	303055651	定向洗练	26	1450
289	303063694	定向洗练	4	104
289	303070211	定向洗练	10	140
289	303072686	定向洗练	1	14
290	304099479	定向洗练	12	312
290	304142661	定向洗练	20	520
290	304144642	定向洗练	1	26
290	304148205	定向洗练	2	52
291	305135688	定向洗练	2	208
291	305135977	定向洗练	1	26
291	305139017	定向洗练	4	104
291	305141252	定向洗练	1	26
291	305141673	定向洗练	3	78
291	305148554	定向洗练	19	650
291	305152174	定向洗练	60	1858
293	307232775	定向洗练	3	78
293	307244425	定向洗练	8	884
294	308281481	定向洗练	4	98
294	308281614	定向洗练	1	26
294	308313817	定向洗练	2	780
294	308314293	定向洗练	3	78
294	308316018	定向洗练	1	104
294	308322300	定向洗练	5	130
294	308325054	定向洗练	1	26
296	310378512	定向洗练	7	182
296	310378544	定向洗练	15	210
296	310411943	定向洗练	2	208
296	310432995	定向洗练	19	494
297	311427194	定向洗练	273	18044
297	311427250	定向洗练	59	1534
297	311427340	定向洗练	1	26
297	311433383	定向洗练	146	4654
297	311435036	定向洗练	4	104
297	311454283	定向洗练	4	104
297	311459840	定向洗练	1	26
298	312475687	定向洗练	6	156
299	313524288	定向洗练	16	284
299	313524357	定向洗练	4	104
299	313524635	定向洗练	1	26
299	313525733	定向洗练	4	104
299	313526139	定向洗练	18	468
299	313532914	定向洗练	1	26
299	313533240	定向洗练	4	468
299	313537116	定向洗练	2	52
299	313557085	定向洗练	2	52
299	313562877	定向洗练	9	234
300	314572825	定向洗练	2	52
300	314574258	定向洗练	2	52
300	314575041	定向洗练	9	468
300	314575318	定向洗练	5	520
300	314580663	定向洗练	9	234
300	314584623	定向洗练	152	20358
301	315621473	定向洗练	6	156
301	315621504	定向洗练	3	78
301	315622624	定向洗练	1	26
301	315624066	定向洗练	1	26
301	315624148	定向洗练	8	442
301	315627527	定向洗练	1	26
301	315637623	定向洗练	18	468
301	315638579	定向洗练	10	260
302	316670104	定向洗练	2	52
302	316670847	定向洗练	17	1404
302	316673925	定向洗练	13	266
302	316674189	定向洗练	3	78
302	316675816	定向洗练	1	26
302	316679241	定向洗练	10	260
302	316680875	定向洗练	1	26
303	317719354	定向洗练	1	26
305	319815681	定向洗练	10	140
305	319815684	定向洗练	24	336
305	319815686	定向洗练	23	598
305	319816148	定向洗练	1	26
305	319816206	定向洗练	8	112
305	319820677	定向洗练	2	52
305	319821851	定向洗练	1	14
305	319823368	定向洗练	2	52
305	319829257	定向洗练	4	104
305	319840513	定向洗练	2	52
305	319843600	定向洗练	4	56
306	320864303	定向洗练	4	104
306	320864315	定向洗练	17	238
306	320864348	定向洗练	37	1820
306	320864368	定向洗练	1	26
306	320864880	定向洗练	1	26
306	320865013	定向洗练	33	858
306	320865331	定向洗练	5	130
306	320865858	定向洗练	9	234
306	320866188	定向洗练	4	104
306	320866321	定向洗练	1	26
306	320866552	定向洗练	12	546
306	320867597	定向洗练	1	26
306	320868700	定向洗练	1	26
306	320868868	定向洗练	1	26
306	320871195	定向洗练	31	3510
306	320874023	定向洗练	69	3562
306	320874603	定向洗练	1	26
306	320875545	定向洗练	3	78
306	320882731	定向洗练	1	26
307	321913479	定向洗练	1	20
308	322961420	定向洗练	2	40
308	322961447	定向洗练	5	100
308	322961683	定向洗练	3	60
308	322963734	定向洗练	20	400
308	322965947	定向洗练	15	300
308	322966404	定向洗练	1	20
308	322966550	定向洗练	90	1800
308	322972497	定向洗练	100	2660
308	322973309	定向洗练	1	20
310	325058682	定向洗练	2	40
310	325059152	定向洗练	2	100
310	325059576	定向洗练	2	40
310	325062819	定向洗练	1	20
310	325069264	定向洗练	2	40
311	326107500	定向洗练	4	104
311	326107582	定向洗练	9	234
311	326107636	定向洗练	3	78
311	326108056	定向洗练	2	52
311	326108511	定向洗练	14	364
311	326108948	定向洗练	3	78
311	326109303	定向洗练	4	104
311	326110043	定向洗练	12	204
311	326110116	定向洗练	8	442
311	326111172	定向洗练	59	1534
311	326115242	定向洗练	2	52
311	326116724	定向洗练	4	104
312	327155730	定向洗练	8	364
312	327155732	定向洗练	4	104
312	327158014	定向洗练	75	1950
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
服务器id	玩家uid	操作项目	次数	总金币
