服务器id,玩家uid,操作项目,次数,总银币
301,315621473,普通洗练,3,19500
301,315621678,普通洗练,28,176800
301,315621888,普通洗练,10,65000
301,315622129,普通洗练,8,52000
301,315622488,普通洗练,3,11700
301,315622624,普通洗练,14,91000
301,315622670,普通洗练,5,14100
301,315623065,普通洗练,12,46800
301,315623251,普通洗练,6,31200
301,315623644,普通洗练,4,15600
301,315623774,普通洗练,2,13000
301,315624066,普通洗练,2,10400
301,315624148,普通洗练,2,13000
301,315624492,普通洗练,9,93600
301,315625136,普通洗练,15,58500
301,315625322,普通洗练,1,6500
301,315626339,普通洗练,14,50600
301,315626580,普通洗练,15,79300
301,315627527,普通洗练,8,52000
301,315627567,普通洗练,1,3900
301,315628013,普通洗练,1,3900
301,315628105,普通洗练,9,35100
301,315629028,普通洗练,12,78000
301,315629239,普通洗练,1,6500
301,315629654,普通洗练,7,27300
301,315630086,普通洗练,8,31200
301,315631215,普通洗练,8,31200
301,315632610,普通洗练,2,13000
301,315633060,普通洗练,6,39000
301,315635380,普通洗练,4,26000
301,315636095,普通洗练,10,39000
301,315637414,普通洗练,4,15600
301,315637623,普通洗练,2,20800
301,315637694,普通洗练,13,50700
301,315638579,普通洗练,1,10400
301,315639215,普通洗练,6,23400
301,315640444,普通洗练,13,50700
301,315642730,普通洗练,6,23400
301,315643297,普通洗练,35,136500
301,315643708,普通洗练,1,3900
301,315644488,普通洗练,35,159900
301,315645503,普通洗练,27,67500
301,315645667,普通洗练,6,26000
301,315646376,普通洗练,1,3900
301,315650088,普通洗练,48,187200
301,315650218,普通洗练,5,19500
301,315650243,普通洗练,6,12600
301,315650334,普通洗练,84,327600
301,315650842,普通洗练,1,3900
301,315651380,普通洗练,23,89700
301,315651732,普通洗练,5,19500
301,315651869,普通洗练,20,78000
服务器id,玩家uid,操作项目,次数,总银币
292,306184196,普通洗练,19,74100
292,306184254,普通洗练,28,109200
292,306184704,普通洗练,79,326300
292,306185710,普通洗练,7,45500
292,306187101,普通洗练,15,58500
292,306188233,普通洗练,6,21000
292,306188308,普通洗练,4,15600
292,306188310,普通洗练,31,120900
服务器id,玩家uid,操作项目,次数,总银币
293,307232775,普通洗练,1,3900
293,307232780,普通洗练,2,7800
293,307232791,普通洗练,12,46800
293,307232868,普通洗练,28,130000
293,307232891,普通洗练,12,46800
293,307232946,普通洗练,6,39000
293,307234003,普通洗练,26,122200
293,307234949,普通洗练,7,45500
293,307235965,普通洗练,8,31200
293,307236666,普通洗练,10,65000
293,307237385,普通洗练,8,31200
293,307238301,普通洗练,2,7800
293,307239218,普通洗练,14,54600
293,307241669,普通洗练,38,148200
293,307242040,普通洗练,1,3900
293,307243205,普通洗练,28,109200
293,307243617,普通洗练,16,33600
293,307244425,普通洗练,2,13000
293,307245273,普通洗练,38,247000
293,307245348,普通洗练,5,19500
293,307247058,普通洗练,8,31200
293,307252492,普通洗练,8,31200
293,307252626,普通洗练,14,54600
293,307255068,普通洗练,4,15600
293,307255196,普通洗练,3,6300
293,307257498,普通洗练,7,29900
293,307257966,普通洗练,1,3900
293,307258847,普通洗练,4,15600
293,307259855,普通洗练,35,136500
293,307260216,普通洗练,5,19500
293,307260488,普通洗练,1,3900
293,307260867,普通洗练,52,112000
293,307261362,普通洗练,13,50700
293,307261704,普通洗练,2,7800
293,307261972,普通洗练,24,93600
293,307262119,普通洗练,6,23400
293,307263170,普通洗练,21,81900
293,307264916,普通洗练,1,3900
293,307264935,普通洗练,51,126900
293,307265123,普通洗练,10,39000
293,307265999,普通洗练,2,7800
293,307266707,普通洗练,5,19500
服务器id,玩家uid,操作项目,次数,总银币
294,308281350,普通洗练,12,46800
294,308281354,普通洗练,1,5600
294,308281576,普通洗练,22,56000
294,308283765,普通洗练,11,71500
294,308285721,普通洗练,66,598000
294,308286943,普通洗练,7,39200
294,308287897,普通洗练,1,10400
294,308288346,普通洗练,109,497900
294,308289178,普通洗练,5,32500
294,308294201,普通洗练,9,58500
294,308294311,普通洗练,66,257400
294,308297092,普通洗练,1,6500
294,308298777,普通洗练,8,28000
294,308302439,普通洗练,75,487500
294,308303440,普通洗练,11,42900
294,308305255,普通洗练,8,31200
294,308308020,普通洗练,11,23100
294,308312542,普通洗练,12,46800
294,308313057,普通洗练,15,58500
294,308313776,普通洗练,31,120900
294,308314172,普通洗练,23,77100
294,308314292,普通洗练,6,21000
294,308314293,普通洗练,6,39000
294,308314462,普通洗练,5,32500
294,308314600,普通洗练,49,310700
294,308314761,普通洗练,13,50700
294,308315012,普通洗练,17,59500
294,308315116,普通洗练,15,156000
294,308315502,普通洗练,8,52000
294,308315803,普通洗练,52,231400
294,308315892,普通洗练,3,11700
294,308315922,普通洗练,1,3900
294,308315993,普通洗练,23,139100
294,308316018,普通洗练,10,44200
294,308316335,普通洗练,10,39000
294,308316345,普通洗练,4,26000
294,308316416,普通洗练,1,3900
